review_id,product_id,brand,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R12V6GU4OOMBXJ,B0D6WD2QSQ,Bose,1.0 out of 5 stars Doesn’t hold a charge,Rebecca phifer,1,"Sound is very low, and even though battery says fully charged it only lasts 3 hours max.Waste of money, don’t buy. Probably the worst Christmas gift I got my boss. Read more","Reviewed in the United States December 16, 2024",AEWGW7HBBTKDVC6H3ELQJPHJEUKQ,FALSE,3,{}
R1GXMQ71C4Z578,B0D6WD2QSQ,Bose,4.0 out of 5 stars Plug warning,ModPodge,4,"Quality, sturdy speaker but the shortest USB cord in history and no wall plug. Read more","Reviewed in the United States December 16, 2024",AG3DM4VSCZEOBHWBGNGBQEP5RLHQ,FALSE,1,{}
R1HT917VL4RZMD,B0D6WD2QSQ,Bose,4.0 out of 5 stars Sounds great,GERALD F POWELL SR,4,Very simple to operate Read more,"Reviewed in the United States December 16, 2024",AHHRQYBBJLD6Z4ANMQ6MY3B5WZVQ,FALSE,0,{}
R30WCML6RVSP9Y,B0D6WD2QSQ,Bose,4.0 out of 5 stars Too many buttons for touch use,Alex P,4,Great sound. Battery life is just ok.I prefer the older JBL UBOOM models where you can control the volume by touch without memorizing the positions of all the buttons 😭 Read more,"Reviewed in the United States December 15, 2024",AGRRWC5HKK46NS56DESVYUBR3DOA,FALSE,1,{}
R2A98FCNNNJWVZ,B0D6WD2QSQ,Bose,3.0 out of 5 stars Great sound but has one annoying flaw,ncraiderrider,3,"I bought this speaker for my first floor of my home. As expected the sound is fantastic, more so than any other speaker in it’s price range. It works great and I can hear it all over my first floor.The problem….. is the Bluetooth. It connects fine however it always wants to connect. I will be listening to my EarPods and all of a sudden the sound is gone. Well it’s playing on the bose. I can be upstairs, or working out in the garage or even outside it will hook up by itself and I have to stop and reconfigure. This is not fun for those people who may be watching tv and are all of a sudden assaulted by heavy metal music blasting on the bose. I have tried shutting off the speaker and it will at some point power on and connect. There is nothing on the app they have you download that stops this. I have researched online and I am not the only one that reports this issue. This is annoying enough for me to want to send it back. Hopefully bose will look into this issue and have some way to disable it until I want to use it. Otherwise it’s more of a hassle than it’s worth. It’s a shame because the sound quality really is that good. Read more","Reviewed in the United States December 15, 2024",AEP6M7IIFBQXYQVG6C3RWXB2HUYQ,FALSE,1,{}
R2VV2JI8D0TBK3,B0D6WB7BV6,Bose,3.0 out of 5 stars Not loud,Amazon Customer,3,I am disappointed that these are not loud enough to overcome ambient noises. Read more,"Reviewed in the United States January 10, 2025",AHJ6ALOKRRELK2JPKKPWCAMLX6YA,FALSE,0,{}
R1E9AWZWTLVZTG,B0D6WB7BV6,Bose,1.0 out of 5 stars Looks used,andrea brown,1,Looked everywhere for a cable for charging apparently it didn’t come with one Read more,"Reviewed in the United States January 9, 2025",AH2BTZDCBUVBATRSIOCKKPYSUJHA,FALSE,0,{}
RVJFMNGDBOFQT,B0D6WB7BV6,Bose,5.0 out of 5 stars Great sound,Wesley Vaughn,5,Best blue tooth speaker I have ever owned Read more,"Reviewed in the United States January 9, 2025",AFLBPR2LBJUN73RIXBPWITGBN6KA,FALSE,0,{}
R1T3JEVSIPBDER,B0D6WB7BV6,Bose,"5.0 out of 5 stars Clear sound, small size",Ciara Marina Lockstadt,5,The look is sleek. It’s super easy to pair to my phone. The size it’s small enough to where it can fit in a purse or carry on easily. I like how when you turn it on it tells you how much battery life is left. I feel like it could have a little more battery life. Read more,"Reviewed in the United States January 9, 2025",AFC4XWESEARODOUYDSFYA2JPWCAA,FALSE,0,{}
R17H183UVQ0Y7C,B0D6WB7BV6,Bose,5.0 out of 5 stars 👍,sean,5,Works well thanks no complaints loud and clear Read more,"Reviewed in the United States January 9, 2025",AG3MGFDSYBLPN5T43WVOYHNUKBRA,FALSE,0,{}
